year,mode,staff_flag,proximity,epistemic_source,n_turns
2014,live,guest,expert,name_title,11
2014,live,guest,institutional,lexicon,255
2014,live,guest,institutional,sector_default,125
2014,live,guest,institutional,name_title,3
2014,live,guest,unresolved,sector_default,990
2014,live,staff,commentary,sector_default,1808
2014,live,staff,commentary,lexicon,680
2014,live,staff,commentary,standing_rule,11
2014,live,staff,direct,sector_default,54
2014,live,staff,direct,lexicon,28
2014,live,staff,expert,name_title,3
2014,live,staff,expert,lexicon,635
2014,live,staff,institutional,name_title,1
2014,live,staff,unresolved,sector_default,10344
2015,clip,guest,commentary,lexicon,90
2015,clip,guest,commentary,standing_rule,48
2015,clip,guest,commentary,sector_default,44
2015,clip,guest,commentary,form,4
2015,clip,guest,direct,lexicon,905
2015,clip,guest,direct,name_title,20
2015,clip,guest,direct,sector_default,69
2015,clip,guest,expert,lexicon,101
2015,clip,guest,expert,sector_default,26
2015,clip,guest,expert,topic_needed,26
2015,clip,guest,expert,name_title,1
2015,clip,guest,institutional,sector_default,100
2015,clip,guest,institutional,lexicon,46
2015,clip,guest,institutional,name_title,7
2015,clip,guest,unresolved,sector_default,404
2015,clip,staff,commentary,sector_default,1567
2015,clip,staff,commentary,lexicon,8
2015,clip,staff,commentary,standing_rule,5
2015,clip,staff,direct,lexicon,24
2015,clip,staff,direct,name_title,3
2015,clip,staff,expert,lexicon,23
2015,clip,staff,unresolved,sector_default,691
2015,live,guest,commentary,lexicon,607
2015,live,guest,commentary,form,67
2015,live,guest,commentary,sector_default,178
2015,live,guest,commentary,standing_rule,139
2015,live,guest,direct,sector_default,160
2015,live,guest,direct,lexicon,1145
2015,live,guest,direct,name_title,13
2015,live,guest,expert,lexicon,329
2015,live,guest,expert,topic_needed,135
2015,live,guest,expert,sector_default,53
2015,live,guest,expert,name_title,9
2015,live,guest,institutional,sector_default,125
2015,live,guest,institutional,lexicon,196
2015,live,guest,institutional,name_title,1
2015,live,guest,unresolved,sector_default,934
2015,live,staff,commentary,sector_default,2590
2015,live,staff,commentary,lexicon,792
2015,live,staff,direct,sector_default,32
2015,live,staff,direct,lexicon,25
2015,live,staff,expert,lexicon,583
2015,live,staff,expert,topic_needed,4
